ally,동맹하다,The two countries decided to form a military alliance to strengthen their defense against potential threats from neighboring nations. ,The two countries decided to form a military ____ to strengthen their defense against potential threats from neighboring nations.,두 나라는 이웃 국가들의 잠재적 위협에 대항하여 방어력을 강화하기 위해 군사 동맹을 결성하기로 결정했습니다.
serve,섬기다,She asked the waiter to serve her dinner. ,She asked the waiter to ____ her dinner.,그녀는 웨이터에게 저녁을 제공해 달라고 부탁했습니다.
admission,입장,The college requires an admission essay as part of the application process.,The college requires an ____ essay as part of the application process.,대학에서는 지원 과정의 일환으로 입학 에세이를 요구합니다.
entertain,즐겁게 하다,The comedian's jokes never failed to entertain the crowd.,The comedian's jokes never failed to ____ the crowd.,그 코미디언의 농담은 항상 군중을 즐겁게 했다.
other,다른 다른 것 그렇지 않고,"She decided to pick up the book at the library, while the other one she ordered online was still in transit."," ""She decided to pick up the book at the library"," while the ____ one she ordered online was still in transit.""","그녀는 온라인으로 주문한 다른 책은 아직 배송 중이지만, 그 책을 도서관에서 픽업하기로 했습니다."
passenger,승객,The passenger fell asleep on the train.,The ______ fell asleep on the train.,승객이 기차에서 잠들었습니다.
quantity,양,She needed to order a large quantity of supplies for the event.,She needed to order a large ____ of supplies for the event.,그녀는 행사를 위해 대량의 물품을 주문해야 했습니다.
desire,바라다,He burned with a deep desire for her that never seemed to fade. ,He burned with a deep ____ for her that never seemed to fade.,그는 그녀에 대한 깊은 열망으로 불타올랐고 그 열망은 결코 사라지지 않았습니다.
category,범주,The book was placed in the science fiction category. ,The book was placed in the science fiction ____.,이 책은 공상과학 카테고리에 속합니다.
author,저자,The author of this book has won multiple awards for their work. ,The ____ of this book has won multiple awards for their work.,이 책의 저자는 그들의 작품에 대해 다수의 상을 수상했습니다.
adapt,적용시키다,She had to adapt quickly to the new environment. ,She had to ____ quickly to the new environment.,그녀는 새로운 환경에 빨리 적응해야 했습니다.
while,-하는 동안,"While I was cleaning the house, my husband was cooking dinner.","____ I was cleaning the house, my husband was cooking dinner.",내가 집을 청소하는 동안 남편은 저녁을 요리하고 있었습니다.
vacuum,진공,She used the vacuum cleaner to clean up all the pet hair from the carpet.,She used the _____ cleaner to clean up all the pet hair from the carpet.,그녀는 진공 청소기를 사용하여 카펫에 묻은 애완동물 털을 모두 청소했습니다.
submarine,잠수함,The submarine quietly glided through the dark depths of the ocean. ,The ____ quietly glided through the dark depths of the ocean.,잠수함은 어두운 바다 깊은 곳을 조용히 미끄러지듯 이동했습니다.
post,기둥,Her post on social media received hundreds of likes within minutes.,Her ____ on social media received hundreds of likes within minutes.,그녀가 소셜 미디어에 게시한 글은 몇 분 만에 수백 개의 '좋아요'를 받았습니다.
abstract,추상적인,She painted an abstract portrait of her dreams. ,She painted an ____ portrait of her dreams.,그녀는 자신의 꿈에 대한 추상적인 초상화를 그렸습니다.
dump,내버리다,I had to clean up the messy dump left behind by the construction workers. ,I had to clean up the messy ____ left behind by the construction workers.,나는 건설 노동자들이 남긴 지저분한 매립지를 청소해야 했습니다.
equipment,장비,The construction workers wore protective equipment while on the job.,The construction workers wore protective ____ while on the job.,건설 노동자들은 일하는 동안 보호 장비를 착용했습니다.
butcher,정육점주인,The butcher skillfully cut up the meat for the customers.,The ____ skillfully cut up the meat for the customers.,정육점 주인은 손님들을 위해 솜씨 좋게 고기를 잘라주었습니다.
shelf,선반,I placed the new book on the top shelf of the bookcase.,I placed the new book on the top ____ of the bookcase.,나는 새로운 책을 책장의 윗 선반에 놓았다.
exhibit,보이다,The art museum has a new exhibit featuring contemporary sculptures from local artists.,The art museum has a new ____ featuring contemporary sculptures from local artists.,미술관에는 지역 예술가들의 현대 조각품을 소개하는 새로운 전시가 있습니다.
slip,(때가)어느덧 지나가다,She watched in horror as he took a slip on the wet floor.,She watched in horror as he took a ____ on the wet floor.,그녀는 그가 젖은 바닥에서 미끄러지는 것을 공포에 질려 지켜보았다.
