rage,격노,She felt an intense rage upon discovering the betrayal. ,She felt an intense ____ upon discovering the betrayal.,그녀는 배신을 깨닫고 강렬한 분노를 느꼈다.
decent,점잖은,"After years of disappointment, she finally found a decent job that matched her skills. ","After years of disappointment, she finally found a ____ job that matched her skills. ",몇 년간의 실망 끝에 그녀는 마침내 자신의 기술에 맞는 괜찮은 일자리를 찾았습니다.
mere,단순한,The amount of money he offered was a mere $5.,The amount of money he offered was a ____ $5.,그가 제안한 돈은 단지 5달러였습니다.
warrant,보증하다 보증,The police have a warrant to search the suspect's home.,The police have a ____ to search the suspect's home.,경찰은 용의자의 집을 수색할 영장을 가지고 있습니다.
chronic,만성의,Her chronic back pain has been debilitating for years. ,Her ______ back pain has been debilitating for years.,그녀는 수년간 만성적인 허리 통증으로 인해 힘들어하고 있습니다.
accumulate,축적하다,The goal is to accumulate enough money to buy a new car.,The goal is to _____ enough money to buy a new car.,목표는 새 차를 살 만큼 충분한 돈을 모으는 것입니다.
integrate,통합하다,The company is working to integrate new technologies into their current systems.,The company is working to ____ new technologies into their current systems.,회사는 새로운 기술을 현재 시스템에 통합하기 위해 노력하고 있습니다.
proportion,"비율, 비 균형, 조화",The recipe called for a high proportion of sugar to make the dessert sweet.,The recipe called for a high ____ of sugar to make the dessert sweet.,이 요리법은 디저트를 달콤하게 만들기 위해 높은 비율의 설탕을 요구했습니다.
meanwhile,그동안,I am cooking dinner meanwhile my husband is watching TV. ,"I am cooking dinner, ____ my husband is watching TV.",남편이 티비를 보는 동안 저는 저녁을 요리하고 있어요.
enforce,실시하다,The police officer will enforce the law to maintain order in the city.,The police officer will ____ the law to maintain order in the city.,경찰은 도시의 질서를 유지하기 위해 법을 집행할 것입니다.
prominent,"두드러진, 돌기한, 양각된 현저한, 탁월한, 중요한",The museum showcased many prominent works by famous artists.,The museum showcased many _____ works by famous artists.,이 박물관에서는 유명 예술가들의 뛰어난 작품을 많이 전시했습니다.
nominate,추천하다,I would like to nominate Jane for the leadership position in our club.,I would like to ______ Jane for the leadership position in our club.,저는 제인을 우리 클럽의 리더십 자리에 추천하고 싶습니다.
bankrupt,파산자,The company's reckless spending and poor financial management ultimately led to their declaring bankruptcy.,The company's reckless spending and poor financial management ultimately led to their declaring _____.,회사의 무모한 지출과 부실한 재무관리로 인해 결국 회사는 파산을 선언하게 되었습니다.
emit,방사하다,"The smokestack began to emit thick, black clouds of pollution.","The smokestack began to ____ thick, black clouds of pollution.",굴뚝에서 두껍고 검은 오염 구름이 나오기 시작했습니다.
vigorous,"정력적인, 강건한, 활기 있는, 격렬한",She approached her workout with a vigorous intensity.,She approached her workout with a strong ____ intensity.,그녀는 강렬한 강도로 운동에 임했습니다.
presume,가정하다,I presume she will be attending the meeting tomorrow.,I ____ she will be attending the meeting tomorrow.,나는 그녀가 내일 회의에 참석할 것이라고 추측한다.
trim,산뜻한 정돈하다,I need to trim the bushes in my yard. ,I need to ____ the bushes in my yard.,마당에 있는 덤불을 다듬어야 해요.
privilege,"특권, 특전, 특별 취급",I am grateful for the privilege of being able to attend university. ,I am grateful for the ____ of being able to attend university.,저는 대학에 다닐 수 있는 기회를 얻게 되어 감사합니다.
sentiment,정서,The heartfelt sentiment expressed in the handwritten letter brought tears to her eyes. ,The heartfelt ____ expressed in the handwritten letter brought tears to her eyes.,손으로 쓴 편지에 담긴 진심 어린 감정은 그녀의 눈물을 자아냈다.
spite,악의,"Determined to prove her wrong, he excelled in his studies in spite of her doubts.","Determined to prove her wrong, he excelled in his studies in ____ of her doubts.",그는 그녀의 의심에도 불구하고 그녀가 틀렸다는 것을 증명하기로 결심하고 공부에서 뛰어난 성적을 거두었습니다.
brew,양조하다,I love the smell of coffee brewing in the morning.,I love the smell of coffee ____ in the morning.,나는 아침에 커피 내리는 냄새를 좋아한다.
dominant,우세한,The lion is the dominant predator in the savannah.,The lion is the ____ predator in the savannah.,사자는 사바나의 지배적인 포식자이다.
vertical,"수평면에 직각인, 수직의",The flagpole stood tall and vertical against the bright blue sky.,The flagpole stood tall and ____ against the bright blue sky.,깃대는 밝은 푸른 하늘을 배경으로 높이 솟아 있었습니다.
hook,갈고리,I loved the idea of a catchy hook in that song. ,I loved the idea of a catchy ____ in that song.,저는 그 노래의 중독성 있는 후렴구 아이디어를 좋아했습니다.
patent,전매특허권 전매특허의,The new technology is protected by a patent.,The new technology is protected by a ____.,새로운 기술은 특허로 보호됩니다.
respective,각각의,The team members submitted their reports for their respective projects.,The team members submitted their reports for their ____ projects.,팀원들은 각자의 프로젝트에 대한 보고서를 제출했습니다.
monument,기념비,The Eiffel Tower in Paris is a stunning monument. ,The Eiffel Tower in Paris is a stunning ____.,파리의 에펠탑은 아름다운 기념물이다.
spectrum,스펙트럼,The rainbow displayed a beautiful spectrum of colors. ,The rainbow displayed a beautiful ____ of colors.,무지개는 아름다운 다양한 색상을 보여주었습니다.
trigger,방아쇠 재빠른,The loud noise was a trigger for her anxiety. ,The loud noise was a ____ for her anxiety.,큰 소리는 그녀의 불안을 촉발시켰습니다.
patch,깁는 헝겊,"I love to design and sew my own clothing creations, adding a unique patch to each one. ","I love to design and sew my own clothing creations, adding a unique ____ to each one.",저는 나만의 옷을 디자인하고 재봉해서 각각의 옷에 독특한 패치를 붙이는 걸 좋아합니다.
